,std_dt,symbol,issues_suspended_from_trading_reason
277,20010426,A001000,사유미상
278,20010430,A001000,
279,20030807,A001000,사유미상
280,20030812,A001000,
281,20040517,A001000,사유미상
282,20040520,A001000,
283,20060403,A001000,사유미상
284,20060406,A001000,
285,20150120,A001000,단기과열 지정
286,20150121,A001000,
287,20150206,A001000,단기과열 지정
288,20150209,A001000,
289,20150217,A001000,단기과열 지정
290,20150223,A001000,
291,20160315,A001000,"주식의 병합, 분할 등 전자등록 변경, 말소"
292,20160401,A001000,
293,19991228,A001020,
294,20000707,A001020,사유미상
295,20000808,A001020,
296,20010402,A001020,사유미상
297,20010403,A001020,
298,20021224,A001020,사유미상
299,20030110,A001020,
300,20040322,A001020,사유미상
301,20040406,A001020,
302,20110502,A001020,"주식의 병합, 분할 등 전자등록 변경, 말소"
303,20110519,A001020,
304,20170913,A001020,"주식의 병합, 분할 등 전자등록 변경, 말소"
305,20170927,A001020,
306,20200304,A001020,"주식의 병합, 분할 등 전자등록 변경, 말소"
307,20200324,A001020,
308,19991228,A001030,
309,20001214,A001030,사유미상
310,20010122,A001030,
311,20010625,A001030,사유미상
312,20010626,A001030,
313,20020318,A001030,사유미상
314,20020715,A001030,
315,20020808,A001030,사유미상
316,20020812,A001030,
317,19991228,A001040,
318,19991228,A001060,
319,19991228,A001070,
320,20180103,A001070,"주식의 병합, 분할 등 전자등록 변경, 말소"
321,20180118,A001070,
322,19991228,A001080,
323,20031124,A001080,사유미상
324,20031125,A001080,
325,19991228,A001090,
326,19991228,A001120,
327,20061030,A001120,사유미상
328,20061201,A001120,
329,19991228,A001130,
330,20050906,A001130,사유미상
331,20050907,A001130,
332,19991228,A001140,
333,20190429,A001140,"주식의 병합, 분할 등 전자등록 변경, 말소"
334,20190503,A001140,
335,20190625,A001140,투자경고 및 위험(주식)
336,20190626,A001140,
337,19991228,A001150,
338,20030718,A001150,사유미상
339,20030721,A001150,
340,20030818,A001150,사유미상
341,20030819,A001150,
342,20030820,A001150,사유미상
343,20030923,A001150,
344,19991228,A001160,
345,19991228,A001170,
346,19991228,A001190,
347,20000323,A001190,사유미상
348,20000327,A001190,
349,20051027,A001190,사유미상
350,20051118,A001190,
351,20090324,A001190,감사의견거절(발행 ELW 포함)
352,20090403,A001190,
353,19991228,A001200,
354,20010628,A001200,사유미상
355,20010702,A001200,
356,20050629,A001200,사유미상
357,20050705,A001200,
358,20110629,A001200,"주식의 병합, 분할 등 전자등록 변경, 말소"
359,20110718,A001200,
360,19991228,A001210,
361,20191007,A001210,"주식의 병합, 분할 등 전자등록 변경, 말소"
362,20191025,A001210,
363,19991228,A001230,
364,20030423,A001230,사유미상
365,20030424,A001230,
366,19991228,A001250,
367,20010402,A001250,사유미상
368,20010403,A001250,
369,20020315,A001250,사유미상
370,20020328,A001250,
371,20020415,A001250,사유미상
372,20020507,A001250,
373,20031124,A001250,사유미상
374,20031223,A001250,
375,20060227,A001250,사유미상
376,20060317,A001250,
377,20061018,A001250,사유미상
378,20061106,A001250,
379,19991228,A001260,
380,20040419,A001260,사유미상
381,20040506,A001260,
382,20120220,A001260,"기타공익과투자자보호및시장관리상, 주식의 병합, 분할 등 전자등록 변경, 말소"
383,20120417,A001260,
384,20120802,A001260,회생절차개시신청(발행 ELW 포함)
385,20120810,A001260,
386,20121220,A001260,"주식의 병합, 분할 등 전자등록 변경, 말소"
387,20130215,A001260,
388,20130515,A001260,단기과열 지정
389,20130516,A001260,
390,20130603,A001260,단기과열 지정
391,20130604,A001260,
392,20150119,A001260,"주식의 병합, 분할 등 전자등록 변경, 말소"
393,20150213,A001260,"기타 시장관리상, 주식의 병합, 분할 등 전자등록 변경, 말소"
394,20150420,A001260,
395,20151221,A001260,"주식의 병합, 분할 등 전자등록 변경, 말소"
396,20160205,A001260,
397,19991228,A001270,
398,19991228,A001280,
399,20040616,A001280,사유미상
400,20040625,A001280,
401,19991228,A001290,
402,20000202,A001290,사유미상
403,20000208,A001290,
404,20030701,A001290,사유미상
405,20030702,A001290,
406,20030710,A001290,사유미상
407,20030820,A001290,
408,20040607,A001290,사유미상
409,20040608,A001290,
410,20040716,A001290,사유미상
411,20040824,A001290,
412,20050525,A001290,사유미상
413,20051223,A001290,
414,20130610,A001290,"주식의 병합, 분할 등 전자등록 변경, 말소"
415,20140120,A001290,
416,20150205,A001290,단기과열 지정
417,20150206,A001290,
418,20170824,A001290,"주식의 병합, 분할 등 전자등록 변경, 말소"
419,20180220,A001290,
420,19991228,A001300,
421,20140627,A001300,"주식의 병합, 분할 등 전자등록 변경, 말소"
422,20140715,A001300,
423,19991228,A001340,
424,20120423,A001340,"주식의 병합, 분할 등 전자등록 변경, 말소"
425,20120510,A001340,
426,19991228,A001350,
427,20000502,A001350,사유미상
428,20000609,A001350,
429,19991228,A001360,
430,20111228,A001360,"주식의 병합, 분할 등 전자등록 변경, 말소"
431,20120120,A001360,
432,19991228,A001370,
433,20011129,A001370,사유미상
434,20011224,A001370,
435,20090730,A001370,"주식의 병합, 분할 등 전자등록 변경, 말소"
436,20090817,A001370,
437,19991228,A001380,
438,20000921,A001380,사유미상
439,20001019,A001380,
440,20031024,A001380,사유미상
441,20031112,A001380,
442,20050314,A001380,사유미상
443,20070625,A001380,
444,20090401,A001380,주식분포상황요건미비
445,20090402,A001380,
446,20090910,A001380,"주식의 병합, 분할 등 전자등록 변경, 말소"
447,20091001,A001380,
448,20100423,A001380,"주식의 병합, 분할 등 전자등록 변경, 말소"
449,20100513,A001380,
450,20130401,A001380,주식분포상황요건미비
451,20130402,A001380,
452,20151012,A001380,단기과열 지정
453,20151013,A001380,
454,19991228,A001390,
455,20000928,A001390,사유미상
456,20001031,A001390,
457,20030819,A001390,사유미상
458,20030901,A001390,
459,20041223,A001390,사유미상
460,20050112,A001390,
461,19991228,A001400,
462,20001122,A001400,사유미상
463,20001123,A001400,
464,20010223,A001400,사유미상
465,20010402,A001400,
466,19991228,A001420,
467,20090630,A001420,"주식의 병합, 분할 등 전자등록 변경, 말소"
468,20090722,A001420,
469,19991228,A001430,
470,20031209,A001430,사유미상
471,20031226,A001430,
472,19991228,A001440,
473,20020418,A001440,사유미상
474,20020422,A001440,
475,20030325,A001440,사유미상
476,20030326,A001440,
477,20121019,A001440,"주식의 병합, 분할 등 전자등록 변경, 말소"
478,20121108,A001440,
479,20141204,A001440,기타공익과투자자보호및시장관리상
480,20150128,A001440,"기타공익과투자자보호및시장관리상, 주식의 병합, 분할 등 전자등록 변경, 말소"
481,20151208,A001440,
482,19991228,A001450,
483,20040707,A001450,사유미상
484,20040713,A001450,
485,19991228,A001460,
486,19991228,A001470,
487,20110413,A001470,풍문등관련주가및거래량급변
488,20110414,A001470,회생절차개시신청(발행 ELW 포함)
489,20110629,A001470,
490,20150818,A001470,반기검토의견 의견거절
491,20150819,A001470,회생절차개시신청(발행 ELW 포함)
492,20150904,A001470,
493,20160302,A001470,"주식의 병합, 분할 등 전자등록 변경, 말소"
494,20160513,A001470,
495,20190426,A001470,"주식의 병합, 분할 등 전자등록 변경, 말소"
496,20190502,A001470,
497,19991228,A001500,
498,19991228,A001510,
499,20030701,A001510,사유미상
500,20030709,A001510,
501,20140731,A001510,단기과열 지정
502,20140801,A001510,
503,19991228,A001520,
504,20110128,A001520,"주식의 병합, 분할 등 전자등록 변경, 말소"
505,20110214,A001520,
506,20110317,A001520,기타 시장관리상
507,20110318,A001520,
508,20130125,A001520,단기과열 지정
509,20130128,A001520,
510,20131001,A001520,회생절차개시신청(발행 ELW 포함)
511,20131018,A001520,
512,20140129,A001520,기타공익과투자자보호및시장관리상
513,20140327,A001520,"기타공익과투자자보호및시장관리상, 주식의 병합, 분할 등 전자등록 변경, 말소"
514,20140403,A001520,"주식의 병합, 분할 등 전자등록 변경, 말소"
515,20140620,A001520,
516,20140821,A001520,기타공익과투자자보호및시장관리상
517,20140822,A001520,
518,19991228,A001530,
519,20030908,A001530,사유미상
520,20030909,A001530,
521,19991228,A001540,
522,20020905,A001540,사유미상
523,20020909,A001540,
524,19991228,A001550,
525,20070419,A001550,사유미상
526,20070515,A001550,
527,19991228,A001560,
528,20150722,A001560,단기과열 지정
529,20150723,A001560,
530,19991228,A001570,
531,20000412,A001570,사유미상
532,20000417,A001570,
533,20011203,A001570,사유미상
534,20011204,A001570,
535,20030620,A001570,사유미상
536,20030801,A001570,
537,19991228,A001580,
538,20010529,A001580,사유미상
539,20010702,A001580,
540,20040108,A001580,사유미상
541,20040109,A001580,
542,20040113,A001580,사유미상
543,20040206,A001580,
544,20040609,A001580,사유미상
545,20040630,A001580,
546,20040909,A001580,사유미상
