,std_dt,ticker,company_name
1940,19991228,A030610,교보증권
1941,19991228,A030700,한통엠닷컴
1942,19991228,A030710,동아금고
1943,19991228,A030720,동원수산
1944,20001226,A030790,동양시스템즈
1945,20120801,A030790,동양네트웍스
1946,20200325,A030790,티탑스
1947,20200429,A030790,비케이탑스
1948,19991228,A030950,보진재
1949,19991228,A030960,양지사
1950,19991228,A030970,주은리스
1951,20000209,A030971,주은리스1
1952,20000704,A031150,국민카드
1953,19991228,A031310,아이즈비전
1954,20000426,A031310,아이즈
1955,20010601,A031310,아이즈비전
1956,20000523,A031330,삼테크
1957,20060825,A031330,에스에이엠티
1958,19991228,A031390,서울이동통신
1959,20050221,A031390,이노셀
1960,20130409,A031390,녹십자셀
1961,20110714,A031430,신세계인터내셔날
1962,20010731,A031440,신세계푸드
1963,19991228,A031510,윤영
1964,20050411,A031510,오스템
1965,19991228,A031800,씨티아이s
1966,20010410,A031800,에쓰에쓰아이
1967,20050318,A031800,메디아나전자
1968,20070917,A031800,에스티앤아이
1969,20070918,A031800,ST&I
1970,19991228,A031820,콤텍시스템
1971,19991228,A031860,삼우통신공업
1972,20051026,A031860,리젠
1973,20081007,A031860,A모션
1974,20090324,A031860,에이모션
1975,20170124,A031860,엔에스엔
1976,19991228,A031920,신민금고
1977,20020430,A031920,신민저축은행
1978,19991228,A031950,서울시스템
1979,20040316,A031950,솔트웍스
1980,20080408,A031950,에듀패스
1981,19991228,A031960,동산진흥
1982,19991228,A031970,엠바이엔
1983,19991228,A031980,피에스케이
1984,20190510,A031980,피에스케이홀딩스
1985,19991228,A031990,대선조선
1986,19991228,A032030,남성정밀
1987,20010723,A032030,월드조인트
1988,20071116,A032030,엔블루
1989,20090227,A032030,일공공일
1990,20090629,A032030,일공공일안경
1991,19991228,A032040,신천개발
1992,20100107,A032040,C&S자산관리
1993,19991228,A032050,자네트시스템
1994,20040109,A032050,한국스템셀
1995,20041026,A032050,후야인포넷
1996,20001026,A032080,아즈텍WB
1997,19991228,A032150,제은금고
1998,20020325,A032150,으뜸저축은행
1999,19991228,A032151,제은금고1
2000,20000418,A032180,이수세라믹
2001,19991228,A032190,다우데이타
2002,19991228,A032280,삼일
2003,19991228,A032290,아일인텍
2004,20021227,A032290,알티전자
2005,20200810,A032300,한국파마
2006,20060608,A032350,롯데관광개발
2007,19991228,A032380,핸디소프트
2008,19991228,A032390,한통프리텔
2009,20010626,A032390,KTF
2010,19991228,A032420,터보테크
