,std_dt,symbol,issued_sh
377,20020110,A000230,3567978
378,20020130,A000230,3644900
379,20020201,A000230,3882076
380,20020207,A000230,3894896
381,20070416,A000230,5013613
382,20110512,A000230,25068065
383,20160831,A000230,7222812
384,20170414,A000230,10490296
385,20190417,A000230,11002587
386,20200325,A000230,11540400
387,19991228,A000240,144719318
388,20000417,A000240,149060897
389,20021023,A000240,150189929
390,20060413,A000240,152189929
391,20121004,A000240,28314860
392,20130718,A000240,93020173
393,19991228,A000250,0
394,20001004,A000250,2000000
395,20020422,A000250,20000000
396,20140605,A000250,21052907
397,20150923,A000250,21237166
398,20160609,A000250,21342456
399,20161208,A000250,22000523
400,20170217,A000250,22105813
401,20200722,A000250,22304485
402,20200730,A000250,22569369
403,20200825,A000250,22768041
404,19991228,A000270,449454502
405,20001218,A000270,449597455
406,20010206,A000270,406310345
407,20010413,A000270,389597455
408,20011113,A000270,369597455
409,20021129,A000270,369730455
410,20030708,A000270,359730455
411,20040602,A000270,347230455
412,20090430,A000270,349076509
413,20090511,A000270,352574986
414,20090514,A000270,356287784
415,20090521,A000270,362438758
416,20090528,A000270,366779359
417,20090604,A000270,367755455
418,20090611,A000270,368361312
419,20090618,A000270,368472004
420,20090625,A000270,368504256
421,20090702,A000270,370222321
422,20090709,A000270,370972545
423,20090716,A000270,371998112
424,20090723,A000270,373252947
425,20090730,A000270,375781239
426,20090806,A000270,376900945
427,20090813,A000270,377421064
428,20090820,A000270,377635709
429,20090827,A000270,378569035
430,20090903,A000270,379701679
431,20090910,A000270,380071393
432,20090917,A000270,380643975
433,20090924,A000270,381086571
434,20091001,A000270,382200521
435,20091009,A000270,383452682
436,20091015,A000270,384019051
437,20091022,A000270,384108926
438,20091029,A000270,384230476
439,20091105,A000270,384975221
440,20091112,A000270,385557757
441,20091119,A000270,385796983
442,20091126,A000270,386159032
443,20091203,A000270,386427645
444,20091210,A000270,386580358
445,20091217,A000270,386982176
446,20091224,A000270,387701429
447,20100104,A000270,388161779
448,20100108,A000270,388370758
449,20100114,A000270,388373574
450,20100121,A000270,388620784
451,20100128,A000270,388783025
452,20100204,A000270,388878599
453,20100211,A000270,389292963
454,20100219,A000270,389647411
455,20100225,A000270,389719544
456,20100305,A000270,389897325
457,20100311,A000270,389926705
458,20100318,A000270,390024212
459,20100325,A000270,390114889
460,20100401,A000270,390407348
461,20100408,A000270,390604589
462,20100415,A000270,390883148
463,20100422,A000270,390918737
464,20100429,A000270,390953963
465,20100507,A000270,391060232
466,20100513,A000270,391159898
467,20100520,A000270,391751071
468,20100528,A000270,392219812
469,20100604,A000270,392322266
470,20100610,A000270,392342642
471,20100617,A000270,392999586
472,20100624,A000270,393024505
473,20100701,A000270,393039692
474,20100708,A000270,393174537
475,20100715,A000270,393387631
476,20100722,A000270,393491593
477,20100729,A000270,393501049
478,20100805,A000270,393516244
479,20100812,A000270,393586472
480,20100819,A000270,393670934
481,20100826,A000270,393700871
482,20100902,A000270,393919081
483,20100909,A000270,394057657
484,20100916,A000270,394279320
485,20100928,A000270,394307154
486,20101001,A000270,394307836
487,20101007,A000270,394494315
488,20101014,A000270,394548789
489,20101021,A000270,394609650
490,20101028,A000270,394755281
491,20101104,A000270,394978653
492,20101111,A000270,395232376
493,20101118,A000270,395317821
494,20101125,A000270,396205366
495,20101202,A000270,396305243
496,20101209,A000270,396352852
