,std_dt,symbol,currency
423,19991228,A006610,KRW
424,20180213,A006620,KRW
425,19991228,A006650,KRW
426,19991228,A006660,KRW
427,19991228,A006730,KRW
428,19991228,A006740,KRW
429,19991228,A006750,KRW
430,19991228,A006800,KRW
431,19991228,A006840,KRW
432,20131121,A006880,KRW
433,19991228,A006890,KRW
434,19991228,A006910,KRW
435,19991228,A006920,KRW
436,19991228,A006980,KRW
437,19991228,A007050,KRW
438,20111223,A007070,KRW
439,19991228,A007090,KRW
440,20000211,A007091,KRW
441,19991228,A007100,KRW
442,19991228,A007110,KRW
443,19991228,A007120,KRW
444,20000725,A007150,KRW
445,19991228,A007160,KRW
446,19991228,A007190,KRW
447,19991228,A007200,KRW
448,19991228,A007210,KRW
449,19991228,A007280,KRW
450,19991228,A007310,KRW
451,19991228,A007330,KRW
452,19991228,A007340,KRW
453,19991228,A007360,KRW
454,20000727,A007370,KRW
455,19991228,A007390,KRW
456,19991228,A007391,KRW
457,19991228,A007410,KRW
458,19991228,A007420,KRW
459,19991228,A007460,KRW
460,19991228,A007480,KRW
461,19991228,A007490,KRW
462,19991228,A007530,KRW
463,19991228,A007540,KRW
464,19991228,A007570,KRW
465,19991228,A007590,KRW
466,19991228,A007610,KRW
467,19991228,A007630,KRW
468,19991228,A007640,KRW
469,20000221,A007641,KRW
470,20000822,A007660,KRW
471,20171201,A007680,KRW
472,19991228,A007690,KRW
473,19991228,A007700,KRW
474,19991228,A007720,KRW
475,19991228,A007721,KRW
476,20000711,A007721,KRW
477,19991228,A007770,KRW
478,19991228,A007800,KRW
479,19991228,A007810,KRW
480,20111108,A007820,KRW
481,19991228,A007830,KRW
482,19991228,A007840,KRW
483,19991228,A007860,KRW
484,19991228,A007910,KRW
485,19991228,A007930,KRW
486,19991228,A007980,KRW
487,19991228,A008000,KRW
488,19991228,A008020,KRW
489,20000404,A008030,KRW
490,19991228,A008040,KRW
491,19991228,A008060,KRW
492,19991228,A008080,KRW
493,19991228,A008110,KRW
494,19991228,A008120,KRW
495,19991228,A008250,KRW
496,19991228,A008260,KRW
497,19991228,A008270,KRW
498,19991228,A008290,KRW
499,19991228,A008320,KRW
500,19991228,A008340,KRW
501,19991228,A008350,KRW
502,19991228,A008370,KRW
503,19991228,A008371,KRW
504,19991228,A008400,KRW
505,19991228,A008420,KRW
506,19991228,A008440,KRW
507,20110223,A008470,KRW
508,19991228,A008480,KRW
509,19991228,A008490,KRW
510,19991228,A008500,KRW
511,19991228,A008530,KRW
512,19991228,A008540,KRW
513,19991228,A008560,KRW
514,19991228,A008600,KRW
515,19991228,A008640,KRW
516,19991228,A008670,KRW
517,19991228,A008690,KRW
518,19991228,A008700,KRW
519,19991228,A008720,KRW
520,19991228,A008730,KRW
521,19991228,A008750,KRW
522,19991228,A008770,KRW
523,19991228,A008780,KRW
524,19991228,A008800,KRW
525,19991228,A008830,KRW
526,19991228,A008870,KRW
527,19991228,A008900,KRW
528,19991228,A008920,KRW
529,19991228,A008930,KRW
530,19991228,A008970,KRW
531,19991228,A008980,KRW
532,19991228,A008990,KRW
533,19991228,A009010,KRW
534,19991228,A009050,KRW
535,19991228,A009070,KRW
536,19991228,A009080,KRW
537,19991228,A009140,KRW
538,19991228,A009150,KRW
539,19991228,A009160,KRW
540,19991228,A009180,KRW
541,19991228,A009190,KRW
542,19991228,A009200,KRW
543,19991228,A009220,KRW
544,20020716,A009240,KRW
545,19991228,A009270,KRW
546,19991228,A009280,KRW
547,19991228,A009290,KRW
548,20000719,A009300,KRW
549,19991228,A009310,KRW
550,19991228,A009320,KRW
551,19991228,A009330,KRW
552,19991228,A009360,KRW
553,19991228,A009380,KRW
554,19991228,A009410,KRW
555,19991228,A009420,KRW
556,19991228,A009440,KRW
557,19991228,A009450,KRW
558,19991228,A009460,KRW
559,19991228,A009470,KRW
560,19991228,A009520,KRW
561,19991228,A009540,KRW
562,19991228,A009580,KRW
563,19991228,A009620,KRW
564,19991228,A009680,KRW
565,19991228,A009690,KRW
566,19991228,A009720,KRW
567,19991228,A009730,KRW
568,19991228,A009760,KRW
569,20061017,A009770,KRW
570,19991228,A009780,KRW
571,19991228,A009790,KRW
572,19991228,A009810,KRW
573,19991228,A009830,KRW
574,19991228,A009840,KRW
575,19991228,A009890,KRW
576,20201207,A009900,KRW
577,19991228,A009940,KRW
578,19991228,A009970,KRW
579,19991228,A010040,KRW
580,19991228,A010050,KRW
581,19991228,A010060,KRW
582,19991228,A010090,KRW
583,19991228,A010100,KRW
584,19991228,A010110,KRW
585,19991228,A010120,KRW
586,19991228,A010130,KRW
587,19991228,A010140,KRW
588,19991228,A010150,KRW
589,19991228,A010170,KRW
590,19991228,A010200,KRW
591,20090512,A010240,KRW
592,20000414,A010280,KRW
593,19991228,A010330,KRW
594,20180914,A010400,KRW
595,19991228,A010420,KRW
596,19991228,A010460,KRW
597,20001024,A010470,KRW
598,19991228,A010510,KRW
599,19991228,A010520,KRW
600,19991228,A010580,KRW
601,19991228,A010600,KRW
602,19991228,A010620,KRW
603,19991228,A010640,KRW
604,19991228,A010660,KRW
605,19991228,A010670,KRW
