,std_dt,ticker,kospi200
1729,20000104,A033340,N
1730,20000104,A033430,N
1731,20000104,A033500,N
1732,20000104,A033530,N
1733,20040629,A033530,Y
1734,20070615,A033530,N
1735,20110610,A033530,Y
1736,20160610,A033530,N
1737,20000104,A033540,N
1738,20110126,A033560,N
1739,20001121,A033600,N
1740,20000104,A033630,N
1741,20000104,A033640,N
1742,20090625,A033660,N
1743,20000627,A033720,N
1744,20000104,A033780,Y
1745,20010626,A033790,N
1746,20101129,A033830,N
1747,20000104,A033850,N
1748,20000104,A033880,N
1749,20000104,A033920,N
1750,20120615,A033920,Y
1751,20190614,A033920,N
1752,20000427,A034010,N
1753,20001025,A034020,N
1754,20020617,A034020,Y
1755,20000104,A034120,N
1756,20040611,A034120,Y
1757,20190614,A034120,N
1758,20040723,A034220,N
1759,20041210,A034220,Y
1760,20021024,A034230,N
1761,20000104,A034300,N
1762,20040204,A034310,N
1763,20000414,A034510,N
1764,20061107,A034590,N
1765,20000104,A034600,N
1766,20000104,A034660,N
1767,20091111,A034730,N
1768,20110610,A034730,Y
1769,20000104,A034750,N
1770,20000104,A034810,N
1771,20010522,A034830,N
1772,20000104,A034940,N
1773,20020207,A034950,N
1774,20000104,A034970,N
1775,20000713,A034980,N
1776,20000104,A035000,N
1777,20000104,A035010,N
1778,20000104,A035080,N
1779,20000104,A035150,N
1780,20010615,A035150,Y
1781,20040611,A035150,N
1782,20020115,A035200,N
1783,20000104,A035210,N
1784,20011025,A035250,N
1785,20040611,A035250,Y
1786,20000104,A035270,N
1787,20000104,A035290,N
1788,20000104,A035400,N
1789,20021024,A035420,N
1790,20090313,A035420,Y
1791,20000104,A035450,N
1792,20000104,A035460,N
1793,20000104,A035480,N
1794,20000104,A035500,N
1795,20001116,A035510,N
1796,20021122,A035600,N
1797,20000104,A035610,N
1798,20000104,A035620,N
1799,20000104,A035710,N
1800,20000104,A035720,N
1801,20170915,A035720,Y
1802,20000104,A035760,N
1803,20000113,A035780,N
1804,20000104,A035810,N
1805,20000104,A035830,N
1806,20000627,A035870,N
1807,20000104,A035890,N
1808,20010830,A035900,N
1809,20000104,A035910,N
1810,20000104,A035950,N
1811,20000104,A035960,N
1812,20000104,A036000,N
1813,20020703,A036010,N
1814,20000104,A036020,N
1815,20000104,A036030,N
1816,20000104,A036090,N
1817,20000104,A036120,N
1818,20000104,A036170,N
1819,20000104,A036180,N
1820,20001226,A036190,N
1821,20000104,A036200,N
1822,20000104,A036210,N
1823,20000104,A036260,N
1824,20000120,A036270,N
1825,20000104,A036280,N
1826,20010118,A036360,N
1827,20000323,A036420,N
1828,20000104,A036460,N
1829,20010615,A036460,Y
1830,20000404,A036480,N
1831,20000104,A036490,N
1832,20000104,A036500,N
1833,20000307,A036530,N
1834,20040611,A036530,Y
1835,20080613,A036530,N
1836,20010502,A036540,N
1837,20030107,A036550,N
1838,20000104,A036560,N
1839,20000711,A036570,N
1840,20040611,A036570,Y
1841,20000104,A036580,N
1842,20150612,A036580,Y
1843,20190614,A036580,N
1844,20010510,A036590,N
1845,20000111,A036600,N
1846,20000104,A036610,N
1847,20000111,A036620,N
1848,20000104,A036630,N
1849,20000530,A036640,N
1850,20000615,A036660,N
1851,20010103,A036670,N
1852,20000118,A036690,N
1853,20000104,A036710,N
1854,20011108,A036720,N
1855,20000104,A036760,N
1856,20000104,A036790,N
