,std_dt,symbol,administrative_issues
842,20030804,A006070,관리
843,20031103,A006070,
844,20090305,A006070,관리
845,20090403,A006070,
846,20090504,A006070,관리
847,20090513,A006070,
848,19991228,A006090,
849,19991228,A006110,
850,19991228,A006120,
851,19991228,A006140,
852,19991228,A006150,
853,20040331,A006150,관리
854,20050411,A006150,
855,19991228,A006160,
856,20000801,A006160,관리
857,20001212,A006160,
858,19991228,A006200,
859,19991228,A006210,
860,20000104,A006210,관리
861,20010822,A006210,
862,20010824,A006210,관리
863,20020507,A006210,
864,20031112,A006210,관리
865,20040512,A006210,
866,20080701,A006210,관리
867,20090403,A006210,
868,20090504,A006210,관리
869,20090715,A006210,
870,19991228,A006220,
871,20030401,A006220,관리
872,20080228,A006220,
873,20090401,A006220,관리
874,20090403,A006220,
875,20090504,A006220,관리
876,20130118,A006220,
877,19991228,A006240,
878,19991228,A006250,
879,20050401,A006250,관리
880,20050719,A006250,
881,19991228,A006260,
882,19991228,A006270,
883,19991228,A006280,
884,20000104,A006280,관리
885,20020327,A006280,
886,19991228,A006290,
887,20010903,A006290,관리
888,20020424,A006290,
889,19991228,A006300,
890,20000201,A006300,관리
891,20000707,A006300,
892,19991228,A006320,
893,19991228,A006340,
894,19991228,A006350,
895,19991228,A006360,
896,19991228,A006370,
897,19991228,A006380,
898,19991228,A006390,
899,20140314,A006390,관리
900,20150313,A006390,
901,19991228,A006400,
902,19991228,A006490,
903,20070402,A006490,관리
904,20080401,A006490,
905,19991228,A006510,
906,19991228,A006520,
907,19991228,A006540,
908,19991228,A006570,
909,20050401,A006570,관리
910,20060117,A006570,
911,19991228,A006580,
912,20080102,A006580,관리
913,20080403,A006580,
914,19991228,A006590,
915,19991228,A006600,
916,20000104,A006600,관리
917,20010104,A006600,
918,19991228,A006610,
919,20020402,A006610,관리
920,20030417,A006610,
921,19991228,A006620,
922,19991228,A006650,
923,19991228,A006660,
924,19991228,A006730,
925,19991228,A006740,
926,20080401,A006740,관리
927,20090403,A006740,
928,20090504,A006740,관리
929,20090701,A006740,
930,19991228,A006750,
931,20030905,A006750,관리
932,20041206,A006750,
933,20041214,A006750,관리
934,20050415,A006750,
935,19991228,A006790,
936,19991228,A006800,
937,19991228,A006840,
938,19991228,A006860,
939,19991228,A006880,
940,19991228,A006890,
941,19991228,A006900,
942,19991228,A006910,
943,19991228,A006920,
944,19991228,A006980,
945,19991228,A007000,
946,19991228,A007020,
947,19991228,A007050,
948,19991228,A007070,
949,19991228,A007090,
950,19991228,A007100,
951,20000104,A007100,관리
952,20000522,A007100,
953,19991228,A007110,
954,20000104,A007110,관리
955,20041216,A007110,
